id,first_name,last_name,team_id
1,Woody,Tirone,1
2,Hildagard,Faulder,2
3,Rock,Rudge,3
4,Brigid,McNish,4
5,Yard,Advani,5
6,Vicki,Beckinsale,6
7,Lorin,Humphrys,7
8,Andrea,Spoerl,8
9,Jackson,Rosbotham,9
10,Yolanda,Couroy,10
11,Carley,Perham,11
12,Marrilee,Hardbattle,12
13,Maritsa,Comellini,13
14,Killie,Dog,14
15,Michal,Bastock,15
16,Keene,Bracer,16
17,Astrid,Swyn,17
18,Ramona,Cossey,18
19,Carmine,Casserly,19
20,Justus,Hardson,20
21,Benjy,Sacker,21
22,Rosemarie,Hopfer,22
23,Jabez,Klimkin,23
24,Thatch,Sprionghall,24
25,William,Coverley,25
26,Georgine,Bestall,26
27,Belita,Baffin,27
28,Barby,Ragot,28
29,Howard,Rollin,29
30,Sherlocke,Airdrie,30
31,Lalo,Balderstone,31
32,Max,Fyall,32
