id,name,city,capacity,country
1,Stadium Australia,Sydney,83500,Australia
2,Sydney Football Stadium,Sydney,42500,Australia
3,Suncorp Stadium,Brisbane,52500,Australia
4,Melbourne Rectangular Stadium,Melbourne,30500,Australia
5,Perth Rectangular Stadium,Perth,22500,Australia
6,Hindmarsh Stadium,Adelaide,22000,Australia
7,Eden Park,Auckland,50000,New Zealand
8,Wellington Regional Stadium,Wellington,34500,New Zealand
9,Forsyth Barr Stadium,Dunedin,30748,New Zealand
10,Waikato Stadium,Hamilton,25800,New Zealand
